,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Mean Response,,,,,,,,,,,,,,Number of Students Responding to the Question,,,,,,,,,,,,,,,,
,,,,,,,Instructor Evaluation,,,,,,,,,Course Evaluation,,,,,Instructor Evaluation,,,,,,,,,Course Evaluation,,,,,,,
TERM,COURSE,CRN,INSTRUCTOR NAME,SECTION ENROLLMENT,XLIST GROUP,XLIST ENROLLMENT,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17
PLEASE NOTE: The order of the questions on this Summary Sheet differs slightly from the order of questions on ESTHER (ESTHER additionally displays Course Evaluations as separate from Instructor Evaluations),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PLEASE NOTE: COURSES WITH MULTIPLE INSTRUCTORS HAVE MULTIPLE ROWS, ONE ROW PER INSTRUCTOR.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PLEASE NOTE RE CROSS-LISTED COURSES: If a course is cross-listed, evaluation results have been combined and the combined total will appear under each course listing, and under each instructor's name.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring 11,ARCH 614 002,25914,"Schaum, Robert T.",7,,,1.50,1.83,1.17,1.17,1.33,1.33,1.00,1.17,1.00,2.17,1.67,1.17,1.33,3.50,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0
Spring 11,ARCH 616 002,25906,"Cannady, William T.",4,N3,4,3.00,4.00,1.00,3.00,3.00,4.00,3.00,4.00,4.00,3.00,4.00,2.00,4.00,3.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Spring 11,ARCH 617 001,25904,"Whitehead, Kerry C.",3,,,1.50,1.50,1.00,1.00,2.00,2.00,2.00,1.50,1.00,2.50,3.00,1.00,2.50,3.00,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
Spring 11,ARCH 617 001,25904,"Albert, Laurence D.",3,,,1.00,1.50,1.00,1.00,1.50,1.00,2.00,1.50,2.00,2.50,3.00,1.00,2.50,3.00,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
Spring 11,ARCH 620 001,20304,"Casbarian, John J.",9,,,2.40,2.40,1.80,2.20,2.00,1.80,1.60,2.20,2.00,2.20,1.80,2.00,2.00,3.20,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,3
Spring 11,ARCH 623 001,20306,"Furr, James E.",8,,,2.00,2.20,2.00,2.20,1.80,2.40,2.40,2.00,2.00,1.83,2.50,2.67,2.17,2.67,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,5,0
Spring 11,ARCH 623 001,20306,"Fleishacker, Alan L.",8,,,1.17,1.50,1.33,1.33,1.33,2.00,1.83,1.40,1.33,1.83,2.50,2.67,2.17,2.67,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,5,0
Spring 11,ARCH 633 001,25900,"Whiting, Sarah",9,,,1.20,1.40,1.40,1.40,1.60,1.40,1.80,1.40,1.20,1.80,1.80,1.20,1.40,4.00,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0
Spring 11,ARCH 646 001,25896,"Hight, Charles C.",11,,,2.00,2.33,1.80,2.67,2.50,2.67,2.33,2.33,2.17,2.33,2.33,2.17,2.33,3.40,6,6,5,6,6,6,6,6,6,6,6,6,6,5,6,6,1
Spring 11,ARCH 653 001,23707,"White, Frank S.",8,,,1.67,2.00,1.33,1.33,1.67,1.67,2.00,1.00,1.33,2.00,1.67,1.00,1.33,2.67,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0
